t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
43,R1,81,0,0,331,176,123,EOD,176,176,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998
43,R2,124,0,0,273,84,84,EOD,84,84,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998
43,R3,60,0,0,1001,296,206,EOD,296,296,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998
44,Supplier,0,0,0,0,0,0,EOD,0,0,1.68,0.0,0.0,0.0,1.68
44,W1,304,0,0,1172,260,185,EOD,0,0,1.68,0.0,0.0,0.0,1.68
44,W2,121,0,0,1432,296,313,EOD,0,0,1.68,0.0,0.0,0.0,1.68
44,R1,113,0,0,356,119,151,EOD,119,119,1.68,0.0,0.0,0.0,1.68
44,R2,121,0,0,266,94,91,EOD,94,94,1.68,0.0,0.0,0.0,1.68
44,R3,56,0,0,1101,200,196,EOD,200,200,1.68,0.0,0.0,0.0,1.68
45,Supplier,0,0,0,0,0,0,EOD,0,0,0.75,0.0,0.0,0.0,0.75
45,W1,316,0,0,1207,213,225,EOD,0,0,0.75,0.0,0.0,0.0,0.75
45,W2,146,0,0,1503,200,225,EOD,0,0,0.75,0.0,0.0,0.0,0.75
45,R1,177,0,0,295,116,180,EOD,116,116,0.75,0.0,0.0,0.0,0.75
45,R2,126,0,0,278,77,82,EOD,77,77,0.75,0.0,0.0,0.0,0.75
45,R3,25,0,0,1075,257,226,EOD,257,257,0.75,0.0,0.0,0.0,0.75
46,Supplier,0,0,0,0,0,0,EOD,0,0,1.5,0.0,0.0,0.0,1.5
46,W1,343,0,0,1200,193,220,EOD,0,0,1.5,0.0,0.0,0.0,1.5
46,W2,95,0,0,1497,257,206,EOD,0,0,1.5,0.0,0.0,0.0,1.5
46,R1,234,0,0,235,119,176,EOD,119,119,1.5,0.0,0.0,0.0,1.5
